COD_MUN,DEPARTAMENTO,MUNICIPIO,TMIN_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91001,Amazonas,Leticia,19.6,6727268
05001,Antioquia,Medellin,7.4,419962
81001,Arauca,Arauca,20.1,6480390
08001,Atlantico,Barranquilla,24.0,165737
13001,Bolivar,Cartagena De Indias,22.0,641599
15001,Boyaca,Tunja,4.7,134508
17001,Caldas,Manizales,4.2,494940
18001,Caqueta,Florencia,4.3,2849167
85001,Casanare,Yopal,11.5,2785982
19001,Cauca,Popayan,2.5,536566
20001,Cesar,Valledupar,-1.2,4760939
27001,Choco,Quibdo,6.8,3935568
11001,Cundinamarca,"Bogota, D.C.",0.3,1817617
23001,Cordoba,Monteria,21.9,3544548
94001,Guainia,Inirida,17.0,17706318
95001,Guaviare,San Jose Del Guaviare,18.3,18731168
41001,Huila,Neiva,4.8,1421612
44001,La Guajira,Riohacha,3.2,3518455
47001,Magdalena,Santa Marta,-1.5,2672070
50001,Meta,Villavicencio,2.0,1441792
52001,Narino,Pasto,-0.2,1226326
54001,Norte de Santander,Cucuta,17.1,1277938
86001,Putumayo,Mocoa,2.0,1456603
63001,Quindio,Armenia,13.4,136089
66001,Risaralda,Pereira,0.2,682233
88001,San Andres y Providencia,San Andres,31.4,30340
68001,Santander,Bucaramanga,11.4,172989
70001,Sucre,Sincelejo,23.3,317037
73001,Tolima,Ibague,-1.3,1544466
76001,Valle del Cauca,Cali,4.6,630689
97001,Vaupes,Mitu,18.2,18064548
99001,Vichada,Puerto Carreno,20.8,13250752
