COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91001,Amazonas,Leticia,33.4,6727268
05001,Antioquia,Medellin,29.2,419962
81001,Arauca,Arauca,32.7,6480390
08001,Atlantico,Barranquilla,32.9,165737
13001,Bolivar,Cartagena De Indias,35.4,641599
15001,Boyaca,Tunja,16.9,134508
17001,Caldas,Manizales,30.5,494940
18001,Caqueta,Florencia,31.2,2849167
85001,Casanare,Yopal,32.5,2785982
19001,Cauca,Popayan,28.3,536566
20001,Cesar,Valledupar,38.9,4760939
27001,Choco,Quibdo,33.9,3935568
11001,Cundinamarca,"Bogota, D.C.",29.8,1817617
23001,Cordoba,Monteria,34.2,3544548
94001,Guainia,Inirida,32.5,17706318
95001,Guaviare,San Jose Del Guaviare,31.3,18731168
41001,Huila,Neiva,35.2,1421612
44001,La Guajira,Riohacha,36.3,3518455
47001,Magdalena,Santa Marta,33.2,2672070
50001,Meta,Villavicencio,31.4,1441792
52001,Narino,Pasto,26.1,1226326
54001,Norte de Santander,Cucuta,37.9,1277938
86001,Putumayo,Mocoa,31.6,1456603
63001,Quindio,Armenia,28.3,136089
66001,Risaralda,Pereira,30.5,682233
88001,San Andres y Providencia,San Andres,33.2,30340
68001,Santander,Bucaramanga,29.2,172989
70001,Sucre,Sincelejo,33.6,317037
73001,Tolima,Ibague,36.0,1544466
76001,Valle del Cauca,Cali,30.1,630689
97001,Vaupes,Mitu,32.3,18064548
99001,Vichada,Puerto Carreno,32.8,13250752
